rainfall,temperature,pesticides,yield,data_source
1485.0,16.37,121.0,3.6613,kaggle_yield
1485.0,16.37,121.0,6.6667000000000005,kaggle_yield
1485.0,16.37,121.0,2.3333,kaggle_yield
1485.0,16.37,121.0,1.25,kaggle_yield
1485.0,16.37,121.0,0.7000000000000001,kaggle_yield
1485.0,16.37,121.0,3.0197000000000003,kaggle_yield
1485.0,15.36,121.0,2.9068,kaggle_yield
1485.0,15.36,121.0,7.7818,kaggle_yield
1485.0,15.36,121.0,2.8538,kaggle_yield
1485.0,15.36,121.0,0.6667000000000001,kaggle_yield
1485.0,15.36,121.0,0.6066,kaggle_yield
1485.0,15.36,121.0,2.0698000000000003,kaggle_yield
1485.0,16.06,121.0,2.4876,kaggle_yield
1485.0,16.06,121.0,8.292,kaggle_yield
1485.0,16.06,121.0,4.0,kaggle_yield
1485.0,16.06,121.0,0.3747,kaggle_yield
1485.0,16.06,121.0,0.4507,kaggle_yield
1485.0,16.06,121.0,2.4388,kaggle_yield
1485.0,16.05,121.0,2.4185000000000003,kaggle_yield
1485.0,16.05,121.0,9.8446,kaggle_yield
1485.0,16.05,121.0,4.1786,kaggle_yield
1485.0,16.05,121.0,0.7998000000000001,kaggle_yield
1485.0,16.05,121.0,2.9976000000000003,kaggle_yield
1485.0,16.96,201.0,2.5848,kaggle_yield
1485.0,16.96,201.0,8.1404,kaggle_yield
1485.0,16.96,201.0,0.7927000000000001,kaggle_yield
1485.0,16.96,201.0,2.4745,kaggle_yield
1485.0,15.67,251.0,3.1300000000000003,kaggle_yield
1485.0,15.67,251.0,11.1323,kaggle_yield
1485.0,15.67,251.0,1.1791,kaggle_yield
1485.0,15.67,251.0,2.8703000000000003,kaggle_yield
1485.0,15.64,313.96,3.2604,kaggle_yield
1485.0,15.64,313.96,10.6138,kaggle_yield
1485.0,15.64,313.96,1.548,kaggle_yield
1485.0,15.64,313.96,2.1741,kaggle_yield
1485.0,15.9,376.93,3.1862000000000004,kaggle_yield
1485.0,15.9,376.93,10.9874,kaggle_yield
1485.0,15.9,376.93,1.2768000000000002,kaggle_yield
1485.0,15.9,376.93,2.8516000000000004,kaggle_yield
1485.0,16.27,439.89,3.3416,kaggle_yield
1485.0,16.27,439.89,12.7212,kaggle_yield
1485.0,16.27,439.89,1.4327,kaggle_yield
1485.0,16.27,439.89,2.8037,kaggle_yield
1485.0,16.57,502.86,3.7455,kaggle_yield
1485.0,16.57,502.86,14.2018,kaggle_yield
1485.0,16.57,502.86,1.7143000000000002,kaggle_yield
1485.0,16.57,502.86,2.4954,kaggle_yield
1485.0,16.67,565.82,3.8811,kaggle_yield
1485.0,16.67,565.82,14.1228,kaggle_yield
1485.0,16.67,565.82,1.5,kaggle_yield
1485.0,16.67,565.82,3.0455,kaggle_yield
1485.0,16.59,628.79,3.8135,kaggle_yield
1485.0,16.59,628.79,14.8818,kaggle_yield
1485.0,16.59,628.79,2.0,kaggle_yield
1485.0,16.59,628.79,2.822,kaggle_yield
1485.0,16.47,691.75,3.946,kaggle_yield
1485.0,16.47,691.75,15.3868,kaggle_yield
1485.0,16.47,691.75,2.0,kaggle_yield
1485.0,16.47,691.75,3.1617,kaggle_yield
1485.0,16.16,817.68,4.6197,kaggle_yield
1485.0,16.16,817.68,14.9346,kaggle_yield
1485.0,16.16,817.68,1.3333000000000002,kaggle_yield
1485.0,16.16,817.68,3.113,kaggle_yield
1485.0,15.67,880.64,4.5442,kaggle_yield
1485.0,15.67,880.64,16.7061,kaggle_yield
1485.0,15.67,880.64,1.75,kaggle_yield
1485.0,15.67,880.64,3.1582000000000003,kaggle_yield
1485.0,15.92,943.61,5.0111,kaggle_yield
