Unnamed: 0,area,crop,year,yield,rainfall,pesticides,temperature,data_source
0,Albania,maize,1990,3.6613,1485.0,121.0,16.37,kaggle_yield
1,Albania,potatoes,1990,6.6667000000000005,1485.0,121.0,16.37,kaggle_yield
2,Albania,"rice, paddy",1990,2.3333,1485.0,121.0,16.37,kaggle_yield
3,Albania,sorghum,1990,1.25,1485.0,121.0,16.37,kaggle_yield
4,Albania,soybeans,1990,0.7000000000000001,1485.0,121.0,16.37,kaggle_yield
5,Albania,wheat,1990,3.0197000000000003,1485.0,121.0,16.37,kaggle_yield
6,Albania,maize,1991,2.9068,1485.0,121.0,15.36,kaggle_yield
7,Albania,potatoes,1991,7.7818000000000005,1485.0,121.0,15.36,kaggle_yield
8,Albania,"rice, paddy",1991,2.8538,1485.0,121.0,15.36,kaggle_yield
9,Albania,sorghum,1991,0.6667000000000001,1485.0,121.0,15.36,kaggle_yield
10,Albania,soybeans,1991,0.6066,1485.0,121.0,15.36,kaggle_yield
11,Albania,wheat,1991,2.0698000000000003,1485.0,121.0,15.36,kaggle_yield
12,Albania,maize,1992,2.4876,1485.0,121.0,16.06,kaggle_yield
13,Albania,potatoes,1992,8.292,1485.0,121.0,16.06,kaggle_yield
14,Albania,"rice, paddy",1992,4.0,1485.0,121.0,16.06,kaggle_yield
15,Albania,sorghum,1992,0.37470000000000003,1485.0,121.0,16.06,kaggle_yield
16,Albania,soybeans,1992,0.45070000000000005,1485.0,121.0,16.06,kaggle_yield
17,Albania,wheat,1992,2.4388,1485.0,121.0,16.06,kaggle_yield
18,Albania,maize,1993,2.4185000000000003,1485.0,121.0,16.05,kaggle_yield
19,Albania,potatoes,1993,9.8446,1485.0,121.0,16.05,kaggle_yield
20,Albania,"rice, paddy",1993,4.1786,1485.0,121.0,16.05,kaggle_yield
21,Albania,soybeans,1993,0.7998000000000001,1485.0,121.0,16.05,kaggle_yield
22,Albania,wheat,1993,2.9976000000000003,1485.0,121.0,16.05,kaggle_yield
23,Albania,maize,1994,2.5848,1485.0,201.0,16.96,kaggle_yield
24,Albania,potatoes,1994,8.1404,1485.0,201.0,16.96,kaggle_yield
25,Albania,soybeans,1994,0.7927000000000001,1485.0,201.0,16.96,kaggle_yield
26,Albania,wheat,1994,2.4745,1485.0,201.0,16.96,kaggle_yield
27,Albania,maize,1995,3.1300000000000003,1485.0,251.0,15.67,kaggle_yield
28,Albania,potatoes,1995,11.1323,1485.0,251.0,15.67,kaggle_yield
29,Albania,soybeans,1995,1.1791,1485.0,251.0,15.67,kaggle_yield
30,Albania,wheat,1995,2.8703000000000003,1485.0,251.0,15.67,kaggle_yield
31,Albania,maize,1996,3.2604,1485.0,313.96,15.64,kaggle_yield
32,Albania,potatoes,1996,10.613800000000001,1485.0,313.96,15.64,kaggle_yield
33,Albania,soybeans,1996,1.548,1485.0,313.96,15.64,kaggle_yield
34,Albania,wheat,1996,2.1741,1485.0,313.96,15.64,kaggle_yield
35,Albania,maize,1997,3.1862000000000004,1485.0,376.93,15.9,kaggle_yield
36,Albania,potatoes,1997,10.987400000000001,1485.0,376.93,15.9,kaggle_yield
37,Albania,soybeans,1997,1.2768000000000002,1485.0,376.93,15.9,kaggle_yield
38,Albania,wheat,1997,2.8516000000000004,1485.0,376.93,15.9,kaggle_yield
39,Albania,maize,1998,3.3416,1485.0,439.89,16.27,kaggle_yield
40,Albania,potatoes,1998,12.721200000000001,1485.0,439.89,16.27,kaggle_yield
41,Albania,soybeans,1998,1.4327,1485.0,439.89,16.27,kaggle_yield
42,Albania,wheat,1998,2.8037,1485.0,439.89,16.27,kaggle_yield
43,Albania,maize,1999,3.7455000000000003,1485.0,502.86,16.57,kaggle_yield
44,Albania,potatoes,1999,14.2018,1485.0,502.86,16.57,kaggle_yield
45,Albania,soybeans,1999,1.7143000000000002,1485.0,502.86,16.57,kaggle_yield
46,Albania,wheat,1999,2.4954,1485.0,502.86,16.57,kaggle_yield
47,Albania,maize,2000,3.8811,1485.0,565.82,16.67,kaggle_yield
48,Albania,potatoes,2000,14.1228,1485.0,565.82,16.67,kaggle_yield
49,Albania,soybeans,2000,1.5,1485.0,565.82,16.67,kaggle_yield
50,Albania,wheat,2000,3.0455,1485.0,565.82,16.67,kaggle_yield
51,Albania,maize,2001,3.8135000000000003,1485.0,628.79,16.59,kaggle_yield
52,Albania,potatoes,2001,14.8818,1485.0,628.79,16.59,kaggle_yield
53,Albania,soybeans,2001,2.0,1485.0,628.79,16.59,kaggle_yield
54,Albania,wheat,2001,2.822,1485.0,628.79,16.59,kaggle_yield
55,Albania,maize,2002,3.946,1485.0,691.75,16.47,kaggle_yield
56,Albania,potatoes,2002,15.386800000000001,1485.0,691.75,16.47,kaggle_yield
57,Albania,soybeans,2002,2.0,1485.0,691.75,16.47,kaggle_yield
58,Albania,wheat,2002,3.1617,1485.0,691.75,16.47,kaggle_yield
59,Albania,maize,2004,4.6197,1485.0,817.68,16.16,kaggle_yield
60,Albania,potatoes,2004,14.934600000000001,1485.0,817.68,16.16,kaggle_yield
61,Albania,soybeans,2004,1.3333000000000002,1485.0,817.68,16.16,kaggle_yield
62,Albania,wheat,2004,3.113,1485.0,817.68,16.16,kaggle_yield
63,Albania,maize,2005,4.5442,1485.0,880.64,15.67,kaggle_yield
64,Albania,potatoes,2005,16.7061,1485.0,880.64,15.67,kaggle_yield
65,Albania,soybeans,2005,1.75,1485.0,880.64,15.67,kaggle_yield
66,Albania,wheat,2005,3.1582000000000003,1485.0,880.64,15.67,kaggle_yield
67,Albania,maize,2006,5.0111,1485.0,943.61,15.92,kaggle_yield
68,Albania,potatoes,2006,17.0745,1485.0,943.61,15.92,kaggle_yield
69,Albania,soybeans,2006,2.0,1485.0,943.61,15.92,kaggle_yield
70,Albania,wheat,2006,3.0787,1485.0,943.61,15.92,kaggle_yield
71,Albania,maize,2007,4.6732000000000005,1485.0,1006.57,16.67,kaggle_yield
72,Albania,potatoes,2007,18.8902,1485.0,1006.57,16.67,kaggle_yield
73,Albania,soybeans,2007,2.0,1485.0,1006.57,16.67,kaggle_yield
74,Albania,wheat,2007,3.5496000000000003,1485.0,1006.57,16.67,kaggle_yield
75,Albania,maize,2008,5.0,1485.0,1069.54,16.71,kaggle_yield
76,Albania,potatoes,2008,19.387800000000002,1485.0,1069.54,16.71,kaggle_yield
77,Albania,soybeans,2008,2.0,1485.0,1069.54,16.71,kaggle_yield
78,Albania,wheat,2008,4.0168,1485.0,1069.54,16.71,kaggle_yield
79,Albania,maize,2009,5.5693,1485.0,1132.5,16.73,kaggle_yield
80,Albania,potatoes,2009,21.978,1485.0,1132.5,16.73,kaggle_yield
81,Albania,soybeans,2009,1.6667,1485.0,1132.5,16.73,kaggle_yield
82,Albania,wheat,2009,4.0229,1485.0,1132.5,16.73,kaggle_yield
83,Albania,maize,2010,6.679,1485.0,1311.17,16.52,kaggle_yield
84,Albania,potatoes,2010,23.1111,1485.0,1311.17,16.52,kaggle_yield
85,Albania,soybeans,2010,1.6667,1485.0,1311.17,16.52,kaggle_yield
86,Albania,wheat,2010,3.9905000000000004,1485.0,1311.17,16.52,kaggle_yield
87,Albania,maize,2011,5.9869,1485.0,1302.63,16.45,kaggle_yield
88,Albania,potatoes,2011,24.2211,1485.0,1302.63,16.45,kaggle_yield
89,Albania,soybeans,2011,1.8519,1485.0,1302.63,16.45,kaggle_yield
90,Albania,wheat,2011,4.2301,1485.0,1302.63,16.45,kaggle_yield
91,Albania,maize,2012,6.729,1485.0,766.25,16.7,kaggle_yield
92,Albania,potatoes,2012,25.053800000000003,1485.0,766.25,16.7,kaggle_yield
93,Albania,soybeans,2012,1.3333000000000002,1485.0,766.25,16.7,kaggle_yield
94,Albania,wheat,2012,4.1096,1485.0,766.25,16.7,kaggle_yield
95,Albania,maize,2013,6.9533000000000005,1485.0,982.32,17.41,kaggle_yield
96,Albania,potatoes,2013,26.011000000000003,1485.0,982.32,17.41,kaggle_yield
97,Albania,soybeans,2013,1.0,1485.0,982.32,17.41,kaggle_yield
98,Albania,wheat,2013,4.1292,1485.0,982.32,17.41,kaggle_yield
99,Algeria,maize,1990,1.6500000000000001,89.0,1828.92,17.48,kaggle_yield
100,Algeria,potatoes,1990,7.8936,89.0,1828.92,17.48,kaggle_yield
101,Algeria,"rice, paddy",1990,2.8000000000000003,89.0,1828.92,17.48,kaggle_yield
