nitrogen,phosphorus,potassium,temperature,ph,rainfall,crop,data_source
0,18,14,29.77149434,7.207991261,114.41617859999998,orange,kaggle_crop
9,122,201,29.58748357,5.570290539,68.06417307,grapes,kaggle_crop
11,71,24,21.14011423,5.6066203460000015,141.6056722,kidneybeans,kaggle_crop
38,38,18,26.31051759,6.294130312999999,35.73403813,mothbeans,kaggle_crop
18,12,8,12.59093977,6.206053072,119.39167179999998,orange,kaggle_crop
100,46,18,24.18586246,6.4316895060000006,69.08056728,cotton,kaggle_crop
83,79,55,25.14748006,5.565028635,98.66679427,banana,kaggle_crop
6,13,9,34.51423957,7.786725333,118.32719679999998,orange,kaggle_crop
36,133,198,25.51939719,6.2286454,69.17281221,grapes,kaggle_crop
2,79,15,21.53577883,7.505283615,35.75107592,lentil,kaggle_crop
31,25,12,18.05142392,7.016482298,111.7793889,orange,kaggle_crop
21,51,15,29.36488409,6.679127482,48.30159325,mungbean,kaggle_crop
117,32,34,26.2724184,6.758792552,127.1752928,coffee,kaggle_crop
7,63,24,19.55750776,6.818681086000002,53.04669416,lentil,kaggle_crop
95,37,35,27.31317116,6.348337518999998,192.4288139,coffee,kaggle_crop
91,21,26,26.33377983,7.261313694,191.6549412,coffee,kaggle_crop
112,87,48,27.19711623,6.200111067999999,99.46950465,banana,kaggle_crop
20,40,15,29.57329479,7.199495367999999,45.04467075,mungbean,kaggle_crop
85,9,53,28.20619412,6.447662945,28.78654515,muskmelon,kaggle_crop
30,122,197,21.37784654,5.573241391,106.1417017,apple,kaggle_crop
14,121,203,9.724457611,6.1586894060000015,74.46411148,grapes,kaggle_crop
89,11,47,29.78714005,6.327822962000001,27.8659442,muskmelon,kaggle_crop
91,84,52,29.14827211,6.390741836,117.536781,banana,kaggle_crop
41,62,15,29.38400259,7.358974541,65.24194361,blackgram,kaggle_crop
29,41,21,31.49398069,8.86979671,64.56807592,mothbeans,kaggle_crop
35,74,22,26.7230014,6.898905799,42.87274897,lentil,kaggle_crop
99,29,55,29.19378695,6.660954816,26.48240255,muskmelon,kaggle_crop
14,59,22,23.82723528,6.76660668,46.90725077,lentil,kaggle_crop
24,27,9,18.86883219,6.157135092000001,119.3936976,orange,kaggle_crop
0,55,25,28.17489437,4.524171562,45.78172762,mothbeans,kaggle_crop
28,75,21,24.7741949,6.007508163,114.2821387,pigeonpeas,kaggle_crop
86,36,24,26.54986394,5.787268394,73.33636055,maize,kaggle_crop
42,73,25,34.03679184,6.501869314,73.23573601,blackgram,kaggle_crop
9,77,17,20.12373284,5.783425416,106.158201,kidneybeans,kaggle_crop
126,38,23,25.36243778,6.176716425,88.43618918,cotton,kaggle_crop
62,42,36,22.78133816,6.430010215,248.7183228,rice,kaggle_crop
38,60,20,29.84823072,7.491217102,46.80452595,lentil,kaggle_crop
118,21,51,24.42998931,6.678805092,48.58241822,watermelon,kaggle_crop
126,46,25,24.43847399,6.757457943,60.79645852,cotton,kaggle_crop
33,75,21,33.04687968,6.690655045,62.30278274,blackgram,kaggle_crop
9,60,23,31.96987867,6.2760043360000015,64.25520357,mothbeans,kaggle_crop
9,137,200,21.12152071,5.636687393,102.8017203,apple,kaggle_crop
90,48,45,24.06475727,6.509174788999999,153.63902119999997,jute,kaggle_crop
21,29,12,22.30318989,6.438668989,117.3688104,orange,kaggle_crop
28,80,17,19.62207826,5.809419584,144.1567454,kidneybeans,kaggle_crop
60,44,23,24.7947077,5.722579819,76.72860067,maize,kaggle_crop
101,70,48,25.36059237,6.012696655,116.5531455,banana,kaggle_crop
0,25,14,19.33516809,6.361671475,116.450422,orange,kaggle_crop
1,29,29,27.32961444,6.052026047000001,93.53197359,mango,kaggle_crop
117,37,32,23.1069385,6.787658922,162.57696059999995,coffee,kaggle_crop
2,39,15,28.07219563,6.478557136,49.61865305,mungbean,kaggle_crop
40,143,201,24.97256132,6.476757723,66.70016285,grapes,kaggle_crop
2,51,17,25.87682261,5.838508699,38.53254678,mothbeans,kaggle_crop
63,47,35,26.98582182,7.432768147000001,193.8778713,jute,kaggle_crop
60,48,39,24.28209415,7.042299068999999,231.0863347,rice,kaggle_crop
32,25,35,18.09903225,5.892913826,107.0050976,pomegranate,kaggle_crop
102,28,54,25.15623099,6.862157042000001,55.49541453,watermelon,kaggle_crop
24,61,17,22.6371424,6.233269045,38.30411077,lentil,kaggle_crop
31,62,52,33.7960155,6.99104104,182.026807,papaya,kaggle_crop
33,60,15,28.95172351,6.510840928,56.51103293,mungbean,kaggle_crop
116,5,54,25.37601283,6.65398725,57.23028471,watermelon,kaggle_crop
77,58,19,22.8056033,5.791649933,101.5952794,maize,kaggle_crop
1,6,35,27.02269204,6.231662767,147.16824590000004,coconut,kaggle_crop
29,139,205,23.64142354,6.155939452999999,116.6912176,apple,kaggle_crop
29,68,23,24.1638445,5.82738029,116.7324324,kidneybeans,kaggle_crop
94,39,18,23.89114571,5.893093135,102.8301942,maize,kaggle_crop
34,66,19,32.97030511,7.586642101,73.44678678,blackgram,kaggle_crop
57,68,81,17.17012591,8.081095263,72.78624223,chickpea,kaggle_crop
98,47,37,23.48381344,7.375482851,224.0581164,rice,kaggle_crop
60,43,44,21.01944696,7.416245107000001,298.40184710000005,rice,kaggle_crop
50,56,76,20.99502153,7.966605025,73.50734019,chickpea,kaggle_crop
24,27,34,28.87862994,6.203376525,145.0583117,coconut,kaggle_crop
10,56,18,27.99627907,7.32710972,46.10585191,lentil,kaggle_crop
35,38,19,25.32688786,9.112771682,32.71129281,mothbeans,kaggle_crop
78,35,44,26.54348085,7.072655622,183.6222657,rice,kaggle_crop
6,47,18,29.16174608,6.715276662999999,40.16545979,mungbean,kaggle_crop
28,70,21,25.39038396,7.437373666,39.18374505,lentil,kaggle_crop
114,94,53,26.33544853,6.190757458999999,118.6858263,banana,kaggle_crop
28,123,202,22.76643029,6.442289294,120.4359949,apple,kaggle_crop
61,41,17,25.1420613,6.021902237000001,76.68456006,maize,kaggle_crop
7,23,35,19.75088482,7.054313822999999,102.5538035,pomegranate,kaggle_crop
22,138,195,27.83487131,6.208196881,73.02882766,grapes,kaggle_crop
20,73,22,16.03768615,5.976312537999999,130.3900798,kidneybeans,kaggle_crop
35,131,203,22.42776057,5.893490899,102.7230739,apple,kaggle_crop
28,68,19,34.63880966,7.69950698,72.43169115,blackgram,kaggle_crop
52,51,53,38.38231475,6.985804083,210.2735346,papaya,kaggle_crop
8,50,21,28.62911222,6.218923893,50.49913241,mungbean,kaggle_crop
10,37,22,28.7275267,7.069747813999999,58.52974279,mungbean,kaggle_crop
87,28,35,26.5602777,6.759211911,152.0616227,coffee,kaggle_crop
64,35,23,23.02038334,5.680361037999999,63.03843397,maize,kaggle_crop
8,37,33,28.07802689,6.128167757000001,97.45373619,mango,kaggle_crop
19,38,26,31.48451729,4.525722333,93.17221967,mango,kaggle_crop
121,47,16,23.60564038,7.7232401510000015,72.49800885,cotton,kaggle_crop
13,73,20,30.50420876,5.391560417999999,162.59277230000004,pigeonpeas,kaggle_crop
71,56,37,23.18866654,6.491506245,176.103677,jute,kaggle_crop
21,9,40,24.51147697,5.956401828,105.6209954,pomegranate,kaggle_crop
86,95,49,28.05484146,6.458714879,108.3957179,banana,kaggle_crop
7,56,18,18.31357543,5.698371311,76.14153904,kidneybeans,kaggle_crop
15,11,38,23.12808226,6.630646082999999,109.3930157,pomegranate,kaggle_crop
5,65,19,18.28072173,6.978361689,48.80253285,lentil,kaggle_crop
